#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
actions	Actions	Aktionen
active	Active	Aktiv
activate	Activate	aktivieren Sie
add_verb	Add	Hinzufügen
admin	Admin	Administrator
after	After	Nach dem
apply	Apply	Anwenden
all	All	Alle
and	And	Und
anonymous	Anonymous	Anonym
any	Any	Irgendein
ascending	Ascending	Aufsteigend
assignee	Assignee	Zessionar
author	Author	Autor
billion	Billion	Milliarde
bitbucket	Bitbucket	Bit Bucket
back	Back	Zurück
backup	Backup	Sicherungskopie
backup_verb	Back up	untermauern
best	Best	Beste
beta	BETA	BETA
blocker	Blocker	Blocker
bold	Bold	Fett gedruckt
branch	Branch	Ast
by_	by	durch
calendar	Calendar	Kalender
cancel	Cancel	Stornieren
category	Category	Kategorie
changelog	Changelog	Änderungsprotokoll
change_verb	Change	Veränderung
class	Class	Klasse
classes	Classes	Klassen
close	Close	Schließen
closed	Closed	Geschlossen
code	Code	Code
color	Color	Farbe
collapse_all	Collapse all	alles schließen
compare	Compare	Vergleichen Sie
component	Component	Komponente
configure	Configure	Konfigurieren
confirm	Confirm	Bestätigen
continue	Continue	Fortsetzen
copy	Copy	Kopieren
create	Create	Erstellen
create_new_element	Create new element	Neues Element anlegen
created	Created	Erstellt
created_on	Created on	Erstellt am
critical	Critical	Kritisch
current	current	Strom
current_noun	Current	Strom
customize	Customize	Anpassen
date	Date	Datum
days	Days	Tage
default	Default	Standard
delete	Delete	Löschen
deprecated	Deprecated	Veraltete
descending	Descending	Absteigend
description	Description	Beschreibung
directories	Directories	Verzeichnisse
directory	Directory	Verzeichnis
dismiss	Dismiss	Entlassen
dismiss_permanently	Dismiss permanently	entlassen dauerhaft
display	Display	Anzeige
download_verb	Download	Herunterladen
duplications	Duplications	Vervielfältigungen
end_date	End Date	Endtermin
edit	Edit	Bearbeiten
events	Events	Veranstaltungen
example	Example	Beispiel
expand_all	Expand all	Alle erweitern
explore	Explore	Erkunden
extend	Extend	Erweitern
FALSE	FALSE	FALSCH
favorite	Favorite	Favorit
field_required	This field is required	Dieses Feld wird benötigt
fields_marked_with_x_required	All fields marked with {star} are required	Alle Felder mit {} Stern gekennzeichneten Felder sind Pflicht
file	File	Datei
files	Files	Dateien
filters	Filters	Filter
follow	Follow	Folgen
format	Format	Format
from	From	Von
global	Global	weltweit
github	GitHub	GitHub
help	Help	Hilfe
here	here	Hier
hide	Hide	Ausblenden
inactive	Inactive	Inaktiv
info	Info	Die Info
issue	Issue	Problem
issues	Issues	Probleme
inheritance	Inheritance	Erbe
internal	internal	intern
key	Key	Schlüssel
language	Language	Sprache
last_analysis	Last Analysis	Letzte Analyse
learn_more	Learn More	Erfahren Sie mehr
library	Library	Bibliothek
line_number	Line Number	Zeilennummer
links	Links	Links
list_of_issues	List of issues	Liste der Probleme
list_of_projects	List of projects	Liste der Projekte
load_more	Load more	Mehr laden
load_verb	Load	Belastung
login	Login	Anmeldung
major	Major	Haupt
manual	Manual	Handbuch
max	Max	Max
max_results_reached	Only the first {0} results are displayed	Nur die ersten {0} Ergebnisse werden angezeigt
me	Me	Mich
members	Members	Mitglieder
min	Min	Mindest
minor	Minor	Geringer
more	More	Mehr
more_x	{0} more	{0} mehr
more_actions	More Actions	Mehr Aktionen
my_issues	My Issues	Meine Fragen
my_favorite	My Favorite	My Favorite
my_favorites	My Favorites	Meine Favoriten
my_projects	My Projects	Meine Projekte
name	Name	Name
navigation	Navigation	Navigation
never	Never	noch nie
new	New	Neu
new_name	New name	Neuer Name
none	None	Keiner
no_tags	No tags	Keine Tags
not_now	Not now	Nicht jetzt
off	Off	aus
on	On	Auf
or	Or	Oder
open	Open	Öffnen
optional	Optional	Optional
order	Order	Auftrag
owner	Owner	Inhaber
parameters	Parameters	Parameter
password	Password	Passwort
path	Path	Pfad
permalink	Permanent Link	Permanenter Link
plugin	Plugin	Plugin
project	Project	Projekt
project_x	Project: {0}	Projekt: {0}
projects	Projects	Projekte
projects_	project(s)	Projekt (e)
x_projects_	{0} project(s)	{0} Projekt (e)
project_singular	project	Projekt
project_plural	projects	Projekte
projects_management	Projects Management	Projektmanagement
quality_profile	Quality Profile	Qualitätsprofil
raw	Raw	Roh
recent_history	Recent History	Neuere Geschichte
recently_browsed	Recently Browsed	Kürzlich durchstöbert
recommended	Recommended	Empfohlen
refresh	Refresh	Aktualisierung
reload	Reload	Neu laden
remove	Remove	Entfernen
rename	Rename	Umbenennen
reset_verb	Reset	Reset
reset_to_default	Reset To Default	Zurücksetzen
resolution	Resolution	Auflösung
restart	Restart	Neu starten
restore	Restore	Wiederherstellen
result	Result	Ergebnis
results	Results	Ergebnisse
x_results	{0} results	{0} Ergebnisse
review	Review	Rezension
rule	Rule	Regel
rules	Rules	Regeln
save	Save	speichern
search_results	Search results	Suchergebnisse
search_verb	Search	Suche
see_all	See all	Alles sehen
see_x	See {0}	Siehe {0}
select_verb	Select	Wählen
selected	Selected	Ausgewählt
set	Set	einstellen
set_up	Set Up	Konfiguration
severity	Severity	Schwere
shared	Shared	Geteilt
start_date	Start Date	Anfangsdatum
x_show	{0} shown	{0} gezeigt,
x_selected	{0} selected	{0}, ausgewählt
x_of_y_shown	{0} of {1} shown	{0} von {1} gezeigt,
size	Size	Größe
skip	Skip	Überspringen
skip_to_content	Skip to main content	Direkt zum Inhalt
status	Status	Status
support	Support	Unterstützung
table	Table	Tabelle
tags	Tags	Stichworte
tags_list_x	Tags list: {0}	Tags Liste: {0}
technical_debt	Technical Debt	Technische Schulden
template	Template	Vorlage
title	Title	Titel
to	To	Zu
to_	to	zu
total	Total	Gesamt
treemap	Treemap	Treemap
TRUE	TRUE	WAHR
type	Type	Art
unassigned	Not assigned	Nicht zugeordnet
unit_test	Unit test	Gerätetest
unit_tests	Unit tests	Unit-Tests
unknown	Unknown	Unbekannt
unresolved	Unresolved	Ungelöst
updated	Updated	Aktualisiert
updated_on	Updated on	Aktualisiert am
update_verb	Update	Aktualisieren
updating	Updating	Aktualisierung
unselected	Unselected	Unselected
user	User	Benutzer
value	Value	Wert
variation	Variation	Variation
version	Version	Ausführung
view	View	Aussicht
views	Views	Ansichten
violations	Violations	Verletzungen
visibility	Visibility	Sichtweite
warnings	Warnings	Warnungen
with	With	Mit
worst	Worst	Am schlimmsten
yes	Yes	Ja
no	No	Nein
		
		
		
#------------------------------------------------------------------------------		
#		
# GENERIC EXPRESSIONS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
404_not_found	404 Not found	404 Nicht gefunden
address_mistyped_or_page_moved	You may have mistyped the address or the page may have moved.	Sie können die Adresse falsch eingegeben haben oder die Seite verschoben haben.
and_worse	and worse	und schlimmer
are_you_sure	Are you sure?	Bist du sicher?
as_explained_here	as explained here	wie hier erklärt
assigned_to	Assigned to	Zugewiesen an
bulk_change	Bulk Change	Massenänderung
bulleted_point	Bulleted point	Aufzählungspunkt
clear	Clear	klar
clear_all_filters	Clear All Filters	Alle Filter
coding_rules	Rules	Regeln
copy_to_clipboard	Click to copy to Clipboard	Klicken Sie auf Zwischenablage kopieren
copied_action	Copied to Clipboard	In die Zwischenablage kopiert
created_by	Created by	Erstellt von
default_error_message	The request cannot be processed. Try again later.	Die Anforderung kann nicht verarbeitet werden. Versuchen Sie es später noch einmal.
default_severity	Default severity	Standard Schwere
edit_permissions	Edit Permissions	Berechtigungen bearbeiten
facet_might_have_more_results	There might be more results, try another set of filters to see them.	Es könnten weitere Ergebnisse sein, versuchen Sie einen anderen Satz von Filtern sie zu sehen.
false_positive	False positive	falsch positive
go_back_to_homepage	Go back to the homepage	Zurück zur Startseite
last_analysis_before	Last analysis before	Letzte Analyse vor
less_than_1_hour_ago	< 1 hour ago	<1 Stunde vor
logging_out	You're logging out, please wait...	Sie sind sich abzumelden, bitte warten ...
manage	Manage	Verwalten
management	Management	Verwaltung
more_information	More information	Mehr Informationen
new_violations	New violations	neue Verletzungen
new_window	New window	Neues Fenster
no_data	No data	Keine Daten
no_results	No results	Keine Ergebnisse
no_results_for_x	No results for "{0}"	Keine Ergebnisse für „{0}“
no_results_search	We couldn't find any results matching selected criteria.	Wir konnten keine Ergebnisse passend zu den ausgewählten Kriterien finden.
no_results_search.favorites	We couldn't find any results matching selected criteria in your favorites.	Wir konnten keine Ergebnisse passend ausgewählten Kriterien in Ihren Favoriten finden.
no_results_search.2	Try to change filters to get some results.	Versuchen Sie, ändern Filter einige Ergebnisse zu erhalten.
no_results_search.favorites.2	Would you like to search among {url} projects?	Möchten Sie unter {url} Projekte suchen?
page_extension_failed	Page extension failed.	Erweiterung auf der Seite ist fehlgeschlagen.
page_not_found	The page you were looking for does not exist.	Die Seite, die Sie suchen ist nicht vorhanden.
please_contact_administrator	Please contact the instance administrator.	Bitte kontaktieren Sie den Instanz-Administrator.
set_as_default	Set as Default	Als Standard festlegen
short_number_suffix.g	G	G
short_number_suffix.k	k	k
short_number_suffix.m	M	M
show_less	Show Less	Zeige weniger
show_more	Show More	Zeig mehr
show_all	Show All	Zeige alles
show_them	Show Them	Zeig's ihnen
should_be_unique	Should be unique	Sollte eindeutig sein
since_x	since {0}	seit {0}
since_version	since version {0}	seit Version {0}
since_version.short	{0}	{0}
since_version_detailed	since version {0} ({1})	seit Version {0} ({1})
since_version_detailed.short	{0} ({1})	{0} ({1})
since_previous_version	since previous version	seit der letzten Version
since_previous_version.short	\u0394 version	\ U0394 Version
since_previous_version_detailed	since previous version ({0} - {1})	seit der letzten Version ({0} - {1})
since_previous_version_with_only_date	since previous version ({0})	seit der letzten Version ({0})
since_previous_version_detailed.short	\u0394 version ({0})	\ U0394 Version ({0})
this_name_is_already_taken	This name is already taken.	Dieser Name ist bereits vergeben.
update_details	Update details	Details zum Update
work_duration.x_days	{0}d	{0} d
work_duration.x_hours	{0}h	{0} h
work_duration.x_minutes	{0}min	{0} min
work_duration.about	~ {0}	\ {0}
		
		
#------------------------------------------------------------------------------		
#		
# CALENDAR		
#		
#------------------------------------------------------------------------------		
		
Done	Done	Getan
Prev	Prev	Zurück
Next	Next	Nächster
Today	Today	Heute
January	January	Januar
February	February	Februar
March	March	März
April	April	April
May	May	Kann
June	June	Juni
July	July	Juli
August	August	August
September	September	September
October	October	Oktober
November	November	November
December	December	Dezember
Jan	Jan	Jan
Feb	Feb	Februar
Mar	Mar	Beschädigen
Apr	Apr	April
Jun	Jun	Juni
Jul	Jul	Juli
Aug	Aug	August
Sep	Sep	September
Oct	Oct	Oktober
Nov	Nov	November
Dec	Dec	Dezember
Sunday	Sunday	Sonntag
Monday	Monday	Montag
Tuesday	Tuesday	Dienstag
Wednesday	Wednesday	Mittwoch
Thursday	Thursday	Donnerstag
Friday	Friday	Freitag
Saturday	Saturday	Samstag
Sun	Sun	Sonne
Mon	Mon	Mon
Tue	Tue	Di
Wed	Wed	Heiraten
Thu	Thu	Thu
Fri	Fri	Fr
Sat	Sat	Sa
Su	Su	Su
Mo	Mo	Mo
Tu	Tu	Tu
We	We	Wir
Th	Th	th
Fr	Fr	Fr
Sa	Sa	Sa
		
#------------------------------------------------------------------------------		
#		
# ALM		
#		
#------------------------------------------------------------------------------		
		
alm.azure	Azure DevOps	Azure DevOps
alm.azure.short	Azure DevOps	Azure DevOps
alm.bitbucket	Bitbucket	Bit Bucket
alm.bitbucket.short	Bitbucket	Bit Bucket
alm.github	GitHub	GitHub
alm.github.short	GitHub	GitHub
alm.gitlab	GitLab	Gitlab
alm.gitlab.short	GitLab	Gitlab
		
#------------------------------------------------------------------------------		
#		
# RESOURCE QUALIFIERS		
#		
#------------------------------------------------------------------------------		
		
qualifier.TRK	Project	Projekt
qualifier.BRC	Sub-project	Teilprojekt
qualifier.DIR	Directory	Verzeichnis
qualifier.PAC	Package	Paket
qualifier.VW	Portfolio	Mappe
qualifier.SVW	Portfolio	Mappe
qualifier.APP	Application	Anwendung
qualifier.FIL	File	Datei
qualifier.CLA	File	Datei
qualifier.UTS	Test File	Testdatei
qualifier.DEV	Developer	Entwickler
		
qualifier.configuration.TRK	Project Configuration	Projektkonfiguration
qualifier.configuration.VW	Portfolio Configuration	Portfolio-Konfiguration
qualifier.configuration.SVW	Portfolio Configuration	Portfolio-Konfiguration
qualifier.configuration.APP	Application Configuration	Anwendungskonfiguration
		
qualifiers.TRK	Projects	Projekte
qualifiers.BRC	Sub-projects	Teilprojekte
qualifiers.DIR	Directories	Verzeichnisse
qualifiers.PAC	Packages	Pakete
qualifiers.VW	Portfolios	Portfolios
qualifiers.SVW	Portfolios	Portfolios
qualifiers.APP	Applications	Anwendungen
qualifiers.FIL	Files	Dateien
qualifiers.CLA	Files	Dateien
qualifiers.UTS	Test Files	Testdateien
qualifiers.DEV	Developers	Entwickler
		
qualifiers.all.TRK	All Projects	alle Projekte
qualifiers.all.VW	All Portfolios	Alle Portfolios
qualifiers.all.DEV	All Developers	alle Entwickler
qualifiers.all.APP	All Applications	Alle Anwendungen
		
qualifiers.new.TRK	New Project	Neues Projekt
qualifiers.new.VW	New Portfolio	Neuer Portfolio
qualifiers.new.DEV	New Developer	Neuer Entwickler
qualifiers.new.APP	New Application	Neue Bewerbung
		
qualifier.delete.TRK	Delete Project	Projekt löschen
qualifier.delete.VW	Delete Portfolio	Löschen Portfolio
qualifier.delete.APP	Delete Application	Löschen Anwendungs
		
qualifiers.delete.TRK	Delete Projects	Löschen von Projekten
qualifiers.delete.VW	Delete Portfolios	Löschen Portfolios
qualifiers.delete.APP	Delete Applications	Löschen von Anwendungen
		
qualifier.delete_confirm.TRK	Do you want to delete this project?	Wollen Sie dieses Projekt löschen?
qualifier.delete_confirm.VW	Do you want to delete this portfolio?	Wollen Sie dieses Portfolio löschen?
qualifier.delete_confirm.APP	Do you want to delete this application?	Wollen Sie diese Anwendung löschen?
		
qualifiers.delete_confirm.TRK	Do you want to delete these projects?	Wollen Sie diese Projekte löschen?
qualifiers.delete_confirm.VW	Do you want to delete these portfolios?	Wollen Sie diese Portfolios löschen?
qualifiers.delete_confirm.APP	Do you want to delete these applications?	Wollen Sie diese Anwendungen löschen?
		
qualifiers.create.TRK	Create Project	erstellen eines Projekts
qualifiers.create.VW	Create Portfolio	erstellen Portfolio
qualifiers.create.DEV	Create Developer	erstellen Entwickler
qualifiers.create.APP	Create Application	Anwendung erstellen
		
qualifiers.update.VW	Update Portfolio	Update Portfolio
qualifiers.update.DEV	Update Developer	Update Entwickler
qualifiers.update.APP	Update Application	Update Application
		
qualifier.description.VW	Potentially multi-level, management-oriented overview aggregation.	Potenziell Multi-Level, managementorientierten Überblick Aggregation.
qualifier.description.SVW	Potentially multi-level, management-oriented overview aggregation.	Potenziell Multi-Level, managementorientierten Überblick Aggregation.
qualifier.description.APP	Single-level aggregation with a technical focus and a project-like homepage.	Einstufig Aggregation mit einem technischen Fokus und projekt wie Homepage.
		
#------------------------------------------------------------------------------		
#		
# PROJECT LINKS		
#		
#------------------------------------------------------------------------------		
		
project_links.homepage	Project's Website	Projekt-Website
project_links.ci	Continuous integration	Kontinuierliche Integration
project_links.issue	Bug Tracker	Bug Tracker
project_links.scm	Sources	Quellen
project_links.scm_ro	Read-only connection	Read-only-Verbindung
project_links.scm_dev	Developer connection	Entwickler-Verbindung
		
project_links.create_new_project_link	Create New Project Link	Neues Projekt erstellen Link-
project_links.delete_project_link	Delete Project Link	Löschen Projektlink
project_links.are_you_sure_to_delete_x_link	Are you sure you want to delete the "{0}" link?	Sind Sie sicher, dass Sie den „{0}“ Link löschen möchten?
project_links.name	Name	Name
project_links.url	URL	URL
		
		
#------------------------------------------------------------------------------		
#		
# EVENT CATEGORIES		
#		
#------------------------------------------------------------------------------		
		
event.category.All	All	Alle
event.category.VERSION	Version	Ausführung
event.category.QUALITY_GATE	Quality Gate	Qualität Tor
event.category.QUALITY_PROFILE	Quality Profile	Qualitätsprofil
event.category.DEFINITION_CHANGE	Definition Change	Definition ändern
event.category.OTHER	Other	Andere
event.quality_gate.still_x	Still {status}	Noch {status}
event.definition_change.added	{project} added	{} Projekt hinzugefügt
event.definition_change.removed	{project} removed	{} Projekt entfernt
event.definition_change.branch_added	{project} {branch} added	{Projekt} {} Zweig hinzugefügt
event.definition_change.branch_removed	{project} {branch} removed	{Projekt} {} Zweig entfernt
event.definition_change.branch_replaced	{project} {oldBranch} replaced with {newBranch}	{Projekt} {} oldBranch ersetzt mit {newBranch}
		
		
#------------------------------------------------------------------------------		
#		
# LAYOUT		
#		
#------------------------------------------------------------------------------		
		
layout.home	Home	Zuhause
layout.login	Log in	Einloggen
layout.logout	Log out	Ausloggen
layout.measures	Measures	Maße
